locus_tag	ftype	length_bp	gene	EC_number	COG	product
SEQF10000.1_00704	CDS	1008	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
SEQF10000.1_00705	CDS	648	znuC	7.2.2.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
SEQF10000.1_00706	CDS	798	znuB_2		COG1108	High-affinity zinc uptake system membrane protein ZnuB
SEQF10000.1_00707	CDS	585	pal_3			Peptidoglycan-associated lipoprotein
SEQF10000.1_00708	CDS	8016				hypothetical protein
SEQF10000.1_00709	CDS	804				hypothetical protein
SEQF10000.1_00710	CDS	2307	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
SEQF10000.1_00711	CDS	777			COG1464	Membrane lipoprotein TpN32
SEQF10000.1_00712	CDS	657	metP		COG2011	Methionine import system permease protein MetP
SEQF10000.1_00713	CDS	1002	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
SEQF10000.1_00714	misc_RNA	87				SAM
SEQF10000.1_00715	CDS	459				hypothetical protein
SEQF10000.1_00716	CDS	351	rplS		COG0335	50S ribosomal protein L19
SEQF10000.1_00717	CDS	948				hypothetical protein
SEQF10000.1_00718	CDS	411	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
SEQF10000.1_00719	CDS	1434	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
SEQF10000.1_00720	CDS	543				hypothetical protein
SEQF10000.1_00721	CDS	1359	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
SEQF10000.1_00722	CDS	717	desVI	2.1.1.234		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose
SEQF10000.1_00723	CDS	255				hypothetical protein
SEQF10000.1_00724	CDS	375				hypothetical protein
SEQF10000.1_00725	CDS	807	atpB		COG0356	ATP synthase subunit a
SEQF10000.1_00726	CDS	276	atpE_1			ATP synthase subunit c, sodium ion specific
SEQF10000.1_00727	CDS	507	atpF			ATP synthase subunit b, sodium ion specific
SEQF10000.1_00728	CDS	534	atpH			ATP synthase subunit delta, sodium ion specific
SEQF10000.1_00729	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
SEQF10000.1_00730	CDS	849	atpG			ATP synthase gamma chain, sodium ion specific
SEQF10000.1_00731	CDS	1398	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
SEQF10000.1_00732	CDS	276	atpC		COG0355	ATP synthase epsilon chain
SEQF10000.1_00733	CDS	426				hypothetical protein
SEQF10000.1_00734	CDS	891			COG0330	putative protein
SEQF10000.1_00735	CDS	972			COG0391	Gluconeogenesis factor
SEQF10000.1_00736	CDS	1281				hypothetical protein
SEQF10000.1_00737	CDS	891				hypothetical protein
SEQF10000.1_00738	CDS	1437	norG		COG1167	HTH-type transcriptional regulator NorG
SEQF10000.1_00739	CDS	1188		4.4.1.11	COG0626	L-methionine gamma-lyase
SEQF10000.1_00740	CDS	1338				hypothetical protein
SEQF10000.1_00741	CDS	3573		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
SEQF10000.1_00742	CDS	177				hypothetical protein
SEQF10000.1_00743	CDS	1587	dan	3.5.1.81		D-aminoacylase
SEQF10000.1_00744	CDS	1473	opuE		COG0591	Osmoregulated proline transporter OpuE
SEQF10000.1_00745	CDS	1185	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
SEQF10000.1_00746	CDS	1209	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
SEQF10000.1_00747	CDS	1716	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
SEQF10000.1_00748	CDS	306	sepF_1			Cell division protein SepF
SEQF10000.1_00749	CDS	945	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
SEQF10000.1_00750	CDS	570	rnmV	3.1.26.8	COG1658	Ribonuclease M5
SEQF10000.1_00751	CDS	969				hypothetical protein
SEQF10000.1_00752	CDS	1392	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
SEQF10000.1_00753	CDS	195				hypothetical protein
SEQF10000.1_00754	CDS	1242	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
SEQF10000.1_00755	CDS	693				queuosine precursor transporter
SEQF10000.1_00756	CDS	996				hypothetical protein
SEQF10000.1_00757	CDS	1536				hypothetical protein
SEQF10000.1_00758	CDS	1491	cobQ_2		COG1492	Cobyric acid synthase
SEQF10000.1_00759	CDS	918				hypothetical protein
SEQF10000.1_00760	CDS	972	cobD_1		COG1270	Cobalamin biosynthesis protein CobD
SEQF10000.1_00761	CDS	1077	cobD_2	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
SEQF10000.1_00762	CDS	1338	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
SEQF10000.1_00763	CDS	1002				hypothetical protein
SEQF10000.1_00764	CDS	645	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
SEQF10000.1_00765	CDS	1125	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
SEQF10000.1_00766	CDS	645	cbiE	2.1.1.289	COG2241	Cobalt-precorrin-7 C(5)-methyltransferase
SEQF10000.1_00767	CDS	567	cbiET		COG2241	Cobalamin biosynthesis bifunctional protein CbiET
SEQF10000.1_00768	CDS	1236				hypothetical protein
SEQF10000.1_00769	CDS	1014				hypothetical protein
SEQF10000.1_00770	CDS	351				hypothetical protein
SEQF10000.1_00771	CDS	372				hypothetical protein
SEQF10000.1_00772	CDS	543				hypothetical protein
SEQF10000.1_00773	CDS	714	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
SEQF10000.1_00774	CDS	684				hypothetical protein
SEQF10000.1_00775	CDS	798	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
SEQF10000.1_00776	CDS	1506				hypothetical protein
SEQF10000.1_00777	CDS	1020	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
SEQF10000.1_00778	CDS	744		2.1.1.272	COG1010	Cobalt-factor III methyltransferase
SEQF10000.1_00779	CDS	762	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
SEQF10000.1_00780	CDS	1647				hypothetical protein
SEQF10000.1_00781	CDS	1110	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
SEQF10000.1_00782	CDS	1065			COG1840	putative protein
SEQF10000.1_00783	CDS	2262				hypothetical protein
SEQF10000.1_00784	CDS	1911	ettA		COG0488	Energy-dependent translational throttle protein EttA
SEQF10000.1_00785	CDS	1122				hypothetical protein
SEQF10000.1_00786	CDS	1134	carC	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
SEQF10000.1_00787	CDS	1128	hadC_1	4.2.1.157	COG1775	(R)-2-hydroxyisocaproyl-CoA dehydratase beta subunit
SEQF10000.1_00788	CDS	1218	hadB_1	4.2.1.157	COG1775	(R)-2-hydroxyisocaproyl-CoA dehydratase alpha subunit
SEQF10000.1_00789	CDS	1212	fldA_2	2.8.3.17		Cinnamoyl-CoA:phenyllactate CoA-transferase
SEQF10000.1_00790	CDS	1023	carE_2	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
SEQF10000.1_00791	CDS	789	carD_2	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
SEQF10000.1_00792	CDS	717	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
SEQF10000.1_00793	CDS	1647		1.18.1.2		Ferredoxin--NADP reductase
SEQF10000.1_00794	CDS	561	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
SEQF10000.1_00795	CDS	606				hypothetical protein
SEQF10000.1_00796	CDS	1098				hypothetical protein
SEQF10000.1_00797	CDS	171				Rubredoxin
SEQF10000.1_00798	CDS	1020	mglC		COG4211	Galactoside transport system permease protein MglC
SEQF10000.1_00799	CDS	1503	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
SEQF10000.1_00800	CDS	1017	mglB		COG1879	D-galactose-binding periplasmic protein
SEQF10000.1_00801	CDS	954	glcK	2.7.1.2	COG1940	Glucokinase
SEQF10000.1_00802	CDS	1746			COG1132	putative ABC transporter ATP-binding protein
SEQF10000.1_00803	CDS	1899			COG1132	putative ABC transporter ATP-binding protein
SEQF10000.1_00804	CDS	981	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
SEQF10000.1_00805	CDS	1152				hypothetical protein
SEQF10000.1_00806	CDS	435				hypothetical protein
SEQF10000.1_00807	CDS	609	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
SEQF10000.1_00808	CDS	951	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
SEQF10000.1_00809	CDS	1359	glmU		COG1207	Bifunctional protein GlmU
SEQF10000.1_00810	CDS	546	djlA			Co-chaperone protein DjlA
SEQF10000.1_00811	CDS	558				hypothetical protein
SEQF10000.1_00812	CDS	870				hypothetical protein
SEQF10000.1_00813	CDS	1218				hypothetical protein
SEQF10000.1_00814	CDS	681				hypothetical protein
SEQF10000.1_00815	CDS	690				hypothetical protein
SEQF10000.1_00816	CDS	369				hypothetical protein
SEQF10000.1_00817	CDS	186				hypothetical protein
SEQF10000.1_00818	CDS	363				hypothetical protein
SEQF10000.1_00819	CDS	246				hypothetical protein
SEQF10000.1_00820	CDS	294				hypothetical protein
SEQF10000.1_00821	CDS	675				hypothetical protein
SEQF10000.1_00822	CDS	318				hypothetical protein
SEQF10000.1_00823	CDS	711				hypothetical protein
SEQF10000.1_00824	CDS	513	infC		COG0290	Translation initiation factor IF-3
SEQF10000.1_00825	CDS	207				hypothetical protein
SEQF10000.1_00826	CDS	351	rplT		COG0292	50S ribosomal protein L20
SEQF10000.1_00827	CDS	684	lutR		COG2186	HTH-type transcriptional regulator LutR
SEQF10000.1_00828	CDS	711	lldR		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
SEQF10000.1_00829	CDS	1581	glcA		COG1620	Glycolate permease GlcA
SEQF10000.1_00830	CDS	1428		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
SEQF10000.1_00831	CDS	1137	acdA	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
SEQF10000.1_00832	CDS	777	carD_3	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
SEQF10000.1_00833	CDS	990	etfA		COG2025	Electron transfer flavoprotein subunit alpha
SEQF10000.1_00834	CDS	1389	mleN_5		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
SEQF10000.1_00835	CDS	753	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
SEQF10000.1_00836	CDS	777	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
SEQF10000.1_00837	CDS	813	gsiD_3		COG1173	Glutathione transport system permease protein GsiD
SEQF10000.1_00838	CDS	966	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
SEQF10000.1_00839	CDS	1542	nikA_1		COG0747	Nickel-binding protein NikA
SEQF10000.1_00840	CDS	447	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
SEQF10000.1_00841	CDS	1509	pncB	6.3.4.21		Nicotinate phosphoribosyltransferase
SEQF10000.1_00842	CDS	915	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
SEQF10000.1_00843	CDS	402				hypothetical protein
SEQF10000.1_00844	CDS	1128				hypothetical protein
SEQF10000.1_00845	CDS	1137	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
SEQF10000.1_00846	CDS	1308				hypothetical protein
SEQF10000.1_00847	CDS	897		2.1.2.5	COG3643	Glutamate formimidoyltransferase
SEQF10000.1_00848	CDS	1227	hutI_2	3.5.2.7	COG1228	Imidazolonepropionase
SEQF10000.1_00849	CDS	642	fchA	3.5.4.9	COG3404	Methenyltetrahydrofolate cyclohydrolase
SEQF10000.1_00850	CDS	447				hypothetical protein
SEQF10000.1_00851	CDS	864				hypothetical protein
SEQF10000.1_00852	CDS	1047	mreB_2		COG1077	Cell shape-determining protein MreB
SEQF10000.1_00853	CDS	1629				hypothetical protein
SEQF10000.1_00854	CDS	540	scpB			Segregation and condensation protein B
SEQF10000.1_00855	CDS	720	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
SEQF10000.1_00856	CDS	294	gatC_2	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
SEQF10000.1_00857	CDS	1458	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
SEQF10000.1_00858	CDS	1443	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
SEQF10000.1_00859	CDS	1539	nikA_2		COG0747	Nickel-binding protein NikA
SEQF10000.1_00860	CDS	912	nikB_2		COG0601	Nickel import system permease protein NikB
SEQF10000.1_00861	CDS	795	nikC		COG1173	Nickel import system permease protein NikC
SEQF10000.1_00862	CDS	726	oppD_3		COG0444	Oligopeptide transport ATP-binding protein OppD
SEQF10000.1_00863	CDS	762	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
SEQF10000.1_00864	CDS	1653				hypothetical protein
SEQF10000.1_00865	CDS	9660				hypothetical protein
SEQF10000.1_00866	CDS	438				hypothetical protein
SEQF10000.1_00867	CDS	1410				hypothetical protein
SEQF10000.1_00868	CDS	567				hypothetical protein
SEQF10000.1_00869	CDS	969	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
SEQF10000.1_00870	CDS	1338	yclM	2.7.2.4	COG0527	Aspartokinase 3
SEQF10000.1_00871	CDS	1119	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
SEQF10000.1_00872	CDS	1458	thrC	4.2.3.1	COG0498	Threonine synthase
SEQF10000.1_00873	CDS	891	thrB	2.7.1.39	COG0083	Homoserine kinase
SEQF10000.1_00874	rRNA	1030				23S ribosomal RNA (partial)
SEQF10000.1_00875	rRNA	103				5S ribosomal RNA
SEQF10000.1_00876	CDS	996	dctP		COG1638	Solute-binding protein
SEQF10000.1_00877	CDS	1038	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
SEQF10000.1_00878	CDS	627	kdgA		COG0800	KHG/KDPG aldolase
SEQF10000.1_00879	CDS	1476				hypothetical protein
SEQF10000.1_00880	CDS	435				hypothetical protein
SEQF10000.1_00881	CDS	915				hypothetical protein
SEQF10000.1_00882	CDS	768				hypothetical protein
SEQF10000.1_00883	CDS	558				hypothetical protein
SEQF10000.1_00884	CDS	384				hypothetical protein
SEQF10000.1_00885	CDS	1290				Uracil permease
SEQF10000.1_00886	CDS	1776	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
SEQF10000.1_00887	CDS	1695	sppA	3.4.21.-	COG0616	Protease 4
SEQF10000.1_00888	CDS	360			COG0718	Nucleoid-associated protein
SEQF10000.1_00889	CDS	669				hypothetical protein
SEQF10000.1_00890	CDS	1941	metG	6.1.1.10		Methionine--tRNA ligase
SEQF10000.1_00891	CDS	885	gtaB	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
SEQF10000.1_00892	misc_RNA	88				SAM
SEQF10000.1_00893	CDS	1149	metK	2.5.1.6		S-adenosylmethionine synthase
SEQF10000.1_00894	CDS	681				hypothetical protein
SEQF10000.1_00895	CDS	753				hypothetical protein
SEQF10000.1_00896	CDS	1524				hypothetical protein
SEQF10000.1_00897	CDS	714	opuBA_1		COG1125	Choline transport ATP-binding protein OpuBA
SEQF10000.1_00898	CDS	1632				hypothetical protein
SEQF10000.1_00899	CDS	1389	gltS_3			Sodium/glutamate symporter
SEQF10000.1_00900	CDS	1071	pdxB	1.1.1.290		Erythronate-4-phosphate dehydrogenase
SEQF10000.1_00901	CDS	750	kipR		COG1414	HTH-type transcriptional regulator KipR
SEQF10000.1_00902	CDS	519	niaR		COG1827	putative transcription repressor NiaR
SEQF10000.1_00903	CDS	861	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
SEQF10000.1_00904	CDS	417				hypothetical protein
SEQF10000.1_00905	CDS	624	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
SEQF10000.1_00906	CDS	1218	pyrC	3.5.2.3	COG0044	Dihydroorotase
SEQF10000.1_00907	CDS	717	pyrF	4.1.1.23		Orotidine 5'-phosphate decarboxylase
SEQF10000.1_00908	CDS	921	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
SEQF10000.1_00909	CDS	801	pyrK_1		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
SEQF10000.1_00910	CDS	906	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
SEQF10000.1_00911	CDS	969	thiB		COG4143	Thiamine-binding periplasmic protein
SEQF10000.1_00912	CDS	1713	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
SEQF10000.1_00913	tRNA	77				tRNA-Arg(tcg)
SEQF10000.1_00914	CDS	1794	shlB_2			Hemolysin transporter protein ShlB
SEQF10000.1_00915	CDS	339				hypothetical protein
SEQF10000.1_00916	CDS	441				hypothetical protein
SEQF10000.1_00917	CDS	822				hypothetical protein
SEQF10000.1_00918	CDS	1425				hypothetical protein
SEQF10000.1_00919	CDS	120				hypothetical protein
SEQF10000.1_00920	CDS	186				hypothetical protein
SEQF10000.1_00921	CDS	339				hypothetical protein
SEQF10000.1_00922	CDS	276				hypothetical protein
SEQF10000.1_00923	CDS	336				hypothetical protein
SEQF10000.1_00924	CDS	672				hypothetical protein
SEQF10000.1_00925	CDS	702				hypothetical protein
SEQF10000.1_00926	CDS	207				hypothetical protein
SEQF10000.1_00927	CDS	1017				hypothetical protein
SEQF10000.1_00928	CDS	228				hypothetical protein
SEQF10000.1_00929	CDS	261				hypothetical protein
SEQF10000.1_00930	CDS	96				hypothetical protein
SEQF10000.1_00931	CDS	228				hypothetical protein
SEQF10000.1_00932	CDS	222				hypothetical protein
SEQF10000.1_00933	CDS	750				hypothetical protein
SEQF10000.1_00934	CDS	201				hypothetical protein
SEQF10000.1_00935	CDS	204				hypothetical protein
SEQF10000.1_00936	CDS	612				hypothetical protein
SEQF10000.1_00937	CDS	171				hypothetical protein
SEQF10000.1_00938	CDS	759	lexA_1	3.4.21.88		LexA repressor
SEQF10000.1_00939	CDS	912				hypothetical protein
SEQF10000.1_00940	CDS	219				hypothetical protein
SEQF10000.1_00941	CDS	207				hypothetical protein
SEQF10000.1_00942	CDS	1083				hypothetical protein
SEQF10000.1_00943	CDS	1350				hypothetical protein
SEQF10000.1_00944	CDS	669				hypothetical protein
SEQF10000.1_00945	CDS	444				hypothetical protein
SEQF10000.1_00946	CDS	1773				hypothetical protein
SEQF10000.1_00947	CDS	219				hypothetical protein
SEQF10000.1_00948	CDS	1542				hypothetical protein
SEQF10000.1_00949	CDS	1116	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
SEQF10000.1_00950	CDS	321				hypothetical protein
SEQF10000.1_00951	CDS	1008				hypothetical protein
SEQF10000.1_00952	CDS	303				hypothetical protein
SEQF10000.1_00953	CDS	315				hypothetical protein
SEQF10000.1_00954	CDS	609				hypothetical protein
SEQF10000.1_00955	CDS	468				hypothetical protein
SEQF10000.1_00956	CDS	255				hypothetical protein
SEQF10000.1_00957	CDS	1401				hypothetical protein
SEQF10000.1_00958	CDS	534				hypothetical protein
SEQF10000.1_00959	CDS	336				hypothetical protein
SEQF10000.1_00960	CDS	252				hypothetical protein
SEQF10000.1_00961	CDS	2586				hypothetical protein
SEQF10000.1_00962	CDS	210				hypothetical protein
SEQF10000.1_00963	CDS	1077				hypothetical protein
SEQF10000.1_00964	CDS	516				hypothetical protein
SEQF10000.1_00965	CDS	387				hypothetical protein
SEQF10000.1_00966	CDS	312				hypothetical protein
SEQF10000.1_00967	CDS	1101				hypothetical protein
SEQF10000.1_00968	CDS	564				hypothetical protein
SEQF10000.1_00969	CDS	1296				hypothetical protein
SEQF10000.1_00970	CDS	687				hypothetical protein
SEQF10000.1_00971	CDS	462				hypothetical protein
SEQF10000.1_00972	CDS	384				hypothetical protein
SEQF10000.1_00973	CDS	453				hypothetical protein
SEQF10000.1_00974	CDS	465				hypothetical protein
SEQF10000.1_00975	CDS	156				hypothetical protein
SEQF10000.1_00976	tRNA	77				tRNA-Arg(acg)
SEQF10000.1_00977	CDS	384				hypothetical protein
SEQF10000.1_00978	CDS	900	impX			Riboflavin transporter ImpX
SEQF10000.1_00979	CDS	1674	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
SEQF10000.1_00980	CDS	705	ypdB		COG3279	Transcriptional regulatory protein YpdB
SEQF10000.1_00981	CDS	1434	cstA		COG1966	Peptide transporter CstA
SEQF10000.1_00982	CDS	435	rplM		COG0102	50S ribosomal protein L13
SEQF10000.1_00983	CDS	399	rpsI		COG0103	30S ribosomal protein S9
SEQF10000.1_00984	CDS	915	glsA2	3.5.1.2	COG2066	Glutaminase 2
SEQF10000.1_00985	CDS	2106	glnA	6.3.1.2		Glutamine synthetase
SEQF10000.1_00986	CDS	270	crh		COG1925	HPr-like protein Crh
SEQF10000.1_00987	CDS	876	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
SEQF10000.1_00988	CDS	1638	rpsA		COG0539	30S ribosomal protein S1
SEQF10000.1_00989	CDS	483	tadA	3.5.4.33		tRNA-specific adenosine deaminase
SEQF10000.1_00990	CDS	243				hypothetical protein
SEQF10000.1_00991	CDS	603				hypothetical protein
SEQF10000.1_00992	CDS	357				hypothetical protein
SEQF10000.1_00993	CDS	729	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
SEQF10000.1_00994	CDS	453				hypothetical protein
SEQF10000.1_00995	CDS	426	perR		COG0735	Peroxide-responsive repressor PerR
SEQF10000.1_00996	CDS	384	dfx	1.15.1.2	COG2033	Desulfoferrodoxin
SEQF10000.1_00997	CDS	360				hypothetical protein
SEQF10000.1_00998	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
SEQF10000.1_00999	CDS	627	rplC		COG0087	50S ribosomal protein L3
SEQF10000.1_01000	CDS	633	rplD			50S ribosomal protein L4
SEQF10000.1_01001	CDS	288	rplW			50S ribosomal protein L23
SEQF10000.1_01002	CDS	831	rplB			50S ribosomal protein L2
SEQF10000.1_01003	CDS	276	rpsS			30S ribosomal protein S19
SEQF10000.1_01004	CDS	333	rplV		COG0091	50S ribosomal protein L22
SEQF10000.1_01005	CDS	657	rpsC		COG0092	30S ribosomal protein S3
SEQF10000.1_01006	CDS	426	rplP		COG0197	50S ribosomal protein L16
SEQF10000.1_01007	CDS	183	rpmC			50S ribosomal protein L29
SEQF10000.1_01008	CDS	252	rpsQ		COG0186	30S ribosomal protein S17
SEQF10000.1_01009	CDS	369	rplN		COG0093	50S ribosomal protein L14
SEQF10000.1_01010	CDS	342	rplX			50S ribosomal protein L24
SEQF10000.1_01011	CDS	552	rplE			50S ribosomal protein L5
SEQF10000.1_01012	CDS	288	rpsN2		COG0199	Alternate 30S ribosomal protein S14
SEQF10000.1_01013	CDS	396	rpsH		COG0096	30S ribosomal protein S8
SEQF10000.1_01014	CDS	534	rplF			50S ribosomal protein L6
SEQF10000.1_01015	CDS	363	rplR		COG0256	50S ribosomal protein L18
SEQF10000.1_01016	CDS	504	rpsE			30S ribosomal protein S5
SEQF10000.1_01017	CDS	186	rpmD		COG1841	50S ribosomal protein L30
SEQF10000.1_01018	CDS	483	rplO			50S ribosomal protein L15
SEQF10000.1_01019	CDS	1281	secY		COG0201	Protein translocase subunit SecY
SEQF10000.1_01020	CDS	225				hypothetical protein
SEQF10000.1_01021	CDS	342				hypothetical protein
SEQF10000.1_01022	CDS	1455	mleN_6		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
SEQF10000.1_01023	CDS	858	pqqB		COG1235	Coenzyme PQQ synthesis protein B
SEQF10000.1_01024	CDS	3165				hypothetical protein
SEQF10000.1_01025	CDS	828	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
SEQF10000.1_01026	CDS	852	murR		COG1737	HTH-type transcriptional regulator MurR
SEQF10000.1_01027	CDS	948				hypothetical protein
SEQF10000.1_01028	CDS	987	ansA	3.5.1.1	COG0252	L-asparaginase 1
SEQF10000.1_01029	CDS	741			COG3713	24 kDa outer membrane protein
SEQF10000.1_01030	CDS	561				hypothetical protein
SEQF10000.1_01031	CDS	324				hypothetical protein
SEQF10000.1_01032	CDS	732				hypothetical protein
SEQF10000.1_01033	CDS	915				hypothetical protein
SEQF10000.1_01034	CDS	669	tcrA		COG0745	Transcriptional regulatory protein TcrA
SEQF10000.1_01035	CDS	1134	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
SEQF10000.1_01036	CDS	1812	typA		COG1217	GTP-binding protein TypA/BipA 
SEQF10000.1_01037	CDS	858	truB	5.4.99.25		tRNA pseudouridine synthase B
SEQF10000.1_01038	CDS	1188	patB_3	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
SEQF10000.1_01039	CDS	3060	czcA			Cobalt-zinc-cadmium resistance protein CzcA
SEQF10000.1_01040	CDS	1104	bepF			Efflux pump periplasmic linker BepF
SEQF10000.1_01041	CDS	1431				hypothetical protein
SEQF10000.1_01042	CDS	534				hypothetical protein
SEQF10000.1_01043	CDS	747	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
SEQF10000.1_01044	CDS	1047	hmuU_2		COG0609	Hemin transport system permease protein HmuU
SEQF10000.1_01045	CDS	861	btuF_2			Vitamin B12-binding protein
SEQF10000.1_01046	CDS	1965	btuB_5			Vitamin B12 transporter BtuB
SEQF10000.1_01047	CDS	1803	lepA	3.6.5.-	COG0481	Elongation factor 4
SEQF10000.1_01048	CDS	1746		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SEQF10000.1_01049	CDS	1794		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SEQF10000.1_01050	CDS	774	fepC_2		COG1120	Ferric enterobactin transport ATP-binding protein FepC
SEQF10000.1_01051	CDS	1032	hmuU_3		COG0609	Hemin transport system permease protein HmuU
SEQF10000.1_01052	CDS	981	yclQ		COG4607	Petrobactin-binding protein YclQ
SEQF10000.1_01053	CDS	177				hypothetical protein
SEQF10000.1_01054	CDS	348				hypothetical protein
SEQF10000.1_01055	CDS	504				hypothetical protein
SEQF10000.1_01056	CDS	1344				hypothetical protein
SEQF10000.1_01057	CDS	618	argO		COG1279	Arginine exporter protein ArgO
SEQF10000.1_01058	CDS	786	yrpC	5.1.1.3	COG0796	Glutamate racemase 2
SEQF10000.1_01059	CDS	618		3.-.-.-		putative metallo-hydrolase
SEQF10000.1_01060	CDS	1227	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
SEQF10000.1_01061	CDS	1503	purH		COG0138	Bifunctional purine biosynthesis protein PurH
SEQF10000.1_01062	CDS	561	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
SEQF10000.1_01063	CDS	1017	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
SEQF10000.1_01064	CDS	1350	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
SEQF10000.1_01065	CDS	717	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
SEQF10000.1_01066	CDS	477	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
